series_id,description
JTS000000060000000HIL,"Hires, Level - In Thousands, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000HIR,"Hires, Rate, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000JOL,"Job openings, Level - In Thousands, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000JOR,"Job openings, Rate, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000LDR,"Layoffs and discharges, Rate, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000QUL,"Quits, Level - In Thousands, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000QUR,"Quits, Rate, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000TSL,"Total separations, Level - In Thousands, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000TSR,"Total separations, Rate, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000060000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, California, All size classes, Seasonally Adjusted"
JTS000000080000000HIL,"Hires, Level - In Thousands, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000HIR,"Hires, Rate, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000JOR,"Job openings, Rate, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000QUL,"Quits, Level - In Thousands, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000QUR,"Quits, Rate, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000TSR,"Total separations, Rate, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000080000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Colorado, All size classes, Seasonally Adjusted"
JTS000000090000000HIL,"Hires, Level - In Thousands, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000HIR,"Hires, Rate, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000JOR,"Job openings, Rate, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000QUL,"Quits, Level - In Thousands, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000QUR,"Quits, Rate, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000TSR,"Total separations, Rate, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000090000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Connecticut, All size classes, Seasonally Adjusted"
JTS000000100000000HIL,"Hires, Level - In Thousands, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000HIR,"Hires, Rate, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
