series_id,description
PCU212323212323,"PPI industry data for Kaolin, clay, and ceramic and refractory minerals mining, not seasonally adjusted"
PCU2123232123231,"PPI industry data for Kaolin, clay, and ceramic and refractory minerals mining-Kaolin and ball clay, not seasonally adjusted"
PCU2123232123232,"PPI industry data for Kaolin, clay, and ceramic and refractory minerals mining-Bentonite, not seasonally adjusted"
PCU2123232123236,"PPI industry data for Kaolin, clay, and ceramic and refractory minerals mining-Other clay, ceramic, and refractory minerals, incl misc shale, fuller's earth, and feldspar, not seasonally adjusted"
PCU212323212323P,"PPI industry data for Kaolin, clay, and ceramic and refractory minerals mining-Primary products, not seasonally adjusted"
PCU212326212326,"PPI industry data for Industrial sand mining, not seasonally adjusted"
PCU2123262123262,"PPI industry data for Industrial sand mining-Hydraulic fracturing sand, not seasonally adjusted"
PCU2123262123269,"PPI industry data for Industrial sand mining-All other industrial sand, not seasonally adjusted"
PCU212326212326P,"PPI industry data for Industrial sand mining-Primary products, not seasonally adjusted"
PCU212326212326S1,"PPI industry data for Industrial sand mining-Secondary products, not seasonally adjusted"
PCU21239-21239-,"PPI industry data for Other nonmetallic mineral mining & quarrying, not seasonally adjusted"
PCU212390212390,"PPI industry data for Other nonmetallic mineral mining and quarrying, not seasonally adjusted"
PCU2123902123902,"PPI industry data for Other nonmetallic mineral mining and quarrying-Natural sodium carbonates and sulfates, not seasonally adjusted"
PCU2123902123905,"PPI industry data for Other nonmetallic mineral mining and quarrying-Rock salt, not seasonally adjusted"
PCU2123902123909,"PPI industry data for Other nonmetallic mineral mining and quarrying-All other nonmetallic minerals, including gypsum, not seasonally adjusted"
PCU212390212390P,"PPI industry data for Other nonmetallic mineral mining and quarrying-Primary products, not seasonally adjusted"
PCU213---213---,"PPI industry sub-sector data for Mining support activities, not seasonally adjusted"
PCU2131--2131--,"PPI industry group data for Mining support activities, not seasonally adjusted"
PCU21311-21311-,"PPI industry data for Mining support activities, not seasonally adjusted"
PCU213111213111,"PPI industry data for Drilling oil and gas wells, not seasonally adjusted"
PCU21311121311103,"PPI industry data for Drilling oil and gas wells-Oil and gas well directional drilling control, not seasonally adjusted"
PCU21311121311104,"PPI industry data for Drilling oil and gas wells-Drilling oil and gas wells, including drilling in, spudding in or tailing in, not seasonally adjusted"
PCU21311121311105,"PPI industry data for Drilling oil and gas wells-Reworking oil and gas wells, not seasonally adjusted"
PCU213111213111P,"PPI industry data for Drilling oil and gas wells-Primary services, not seasonally adjusted"
PCU213112213112,"PPI industry data for Support activities for oil and gas operations, not seasonally adjusted"
PCU2131122131120,"PPI industry data for Support activities for oil and gas operations-Oil and gas field support services, not seasonally adjusted"
PCU21311221311201,"PPI industry data for Support activities for oil and gas operations-Oil and gas field exploration services, not seasonally adjusted"
PCU21311221311203,"PPI industry data for Support activities for oil and gas operations-Other oil and gas field support services, not seasonally adjusted"
PCU213112213112M,"PPI industry data for Support activities for oil and gas operations-Miscellaneous receipts, not seasonally adjusted"
PCU213112213112P,"PPI industry data for Support activities for oil and gas operations-Primary services, not seasonally adjusted"
PCU221---221---,"PPI industry sub-sector data for Utilities, not seasonally adjusted"
PCU2211--2211--,"PPI industry group data for Electric power generation, transmission, and distribution, not seasonally adjusted"
