series_id,description
CIS2010000430000I,"Total compensation for private industry workers in installation, maintenance, and repair occupations, current dollar index"
CIS2010000430000Q,"Total compensation for private industry workers in installation, maintenance, and repair occupations, 3-month percent change, current dollars"
CIS2010000500000I,"Total compensation for private industry workers in production, transportation, and material moving occupations, current dollar index"
CIS2010000500000Q,"Total compensation for private industry workers in production, transportation, and material moving occupations, 3-month percent change, current dollars"
CIS2010000510000I,"Total compensation for private industry workers in production occupations, current dollar index"
CIS2010000510000Q,"Total compensation for private industry workers in production occupations, 3-month percent change, current dollars"
CIS2010000520000I,"Total compensation for private industry workers in transportation and material moving occupations, current dollar index"
CIS2010000520000Q,"Total compensation for private industry workers in transportation and material moving occupations, 3-month percent change, current dollars"
CIS201000052D000I,"(Discontinued SOC 2010) Total compensation for Private industry workers in Transportation and material moving, current dollar index"
CIS201000052D000Q,"(Discontinued SOC 2010) Total compensation for Private industry workers in Transportation and material moving, 3-month percent change, current dollars"
CIS2010000B00000I,"Total compensation for Private industry workers in Blue-collar occupations, Index"
CIS2010000B00000Q,"Total compensation for Private industry workers in Blue-collar occupations, 3-month percent change"
CIS2010000W00000I,"Total compensation for Private industry workers in White-collar occupations, Index"
CIS2010000W00000Q,"Total compensation for Private industry workers in White-collar occupations, 3-month percent change"
CIS2012300000000I,"Total compensation for private industry workers in the construction industry, current dollar index"
CIS2012300000000Q,"Total compensation for private industry workers in the construction industry, 3-month percent change, current dollars"
CIS2013000000000I,"Total compensation for private industry workers in the manufacturing industry, current dollar index"
CIS2013000000000Q,"Total compensation for private industry workers in the manufacturing industry, 3-month percent change, current dollars"
CIS2013100000000I,"Total compensation for Private industry workers in Nondurables, Index"
CIS2013100000000Q,"Total compensation for Private industry workers in Nondurables, 3-month percent change"
CIS2013200000000I,"Total compensation for Private industry workers in Durables, Index"
CIS2013200000000Q,"Total compensation for Private industry workers in Durables, 3-month percent change"
CIS2013211000000I,"Total compensation for private industry workers in the aircraft manufacturing industry, current dollar index"
CIS2013211000000Q,"Total compensation for private industry workers in the aircraft manufacturing industry, 3-month percent change, current dollars"
CIS2014000000000I,"Total compensation for private industry workers in the trade, transportation, and utilities industry, current dollar index"
CIS2014000000000Q,"Total compensation for private industry workers in the trade, transportation, and utilities industry, 3-month percent change, current dollars"
CIS2014110000000I,"Total compensation for private industry workers in the wholesale trade industry, current dollar index"
CIS2014110000000Q,"Total compensation for private industry workers in the wholesale trade industry, 3-month percent change, current dollars"
CIS2014120000000I,"Total compensation for private industry workers in the retail trade industry, current dollar index"
CIS2014120000000Q,"Total compensation for private industry workers in the retail trade industry, 3-month percent change, current dollars"
CIS2014300000000I,"Total compensation for private industry workers in the transportation and warehousing industry, current dollar index"
CIS2014300000000Q,"Total compensation for private industry workers in the transportation and warehousing industry, 3-month percent change, current dollars"
CIS2014400000000I,"Total compensation for private industry workers in the utilities industry, current dollar index"
CIS2014400000000Q,"Total compensation for private industry workers in the utilities industry, 3-month percent change, current dollars"
CIS2015100000000I,"Total compensation for private industry workers in the information industry, current dollar index"
CIS2015100000000Q,"Total compensation for private industry workers in the information industry, 3-month percent change, current dollars"
CIS2015200000000I,"Total compensation for private industry workers in the finance and insurance industry, current dollar index"
CIS2015200000000Q,"Total compensation for private industry workers in the finance and insurance industry, 3-month percent change, current dollars"
CIS201520A000000I,"Total compensation for private industry workers in the financial activities industry, current dollar index"
CIS201520A000000Q,"Total compensation for private industry workers in the financial activities industry, 3-month percent change, current dollars"
CIS2015220000000I,"Total compensation for private industry workers in the credit intermediation and related activities industry, current dollar index"
CIS2015220000000Q,"Total compensation for private industry workers in the credit intermediation and related activities industry, 3-month percent change, current dollars"
CIS2015240000000I,"Total compensation for private industry workers in the insurance carriers and related activities industry, current dollar index"
CIS2015240000000Q,"Total compensation for private industry workers in the insurance carriers and related activities industry, 3-month percent change, current dollars"
CIS2015300000000I,"Total compensation for private industry workers in the real estate and rental and leasing industry, current dollar index"
CIS2015300000000Q,"Total compensation for private industry workers in the real estate and rental and leasing industry, 3-month percent change, current dollars"
CIS2015400000000I,"Total compensation for private industry workers in the professional, scientific, and technical services industry, current dollar index"
CIS2015400000000Q,"Total compensation for private industry workers in the professional, scientific, and technical services industry, 3-month percent change, current dollars"
CIS201540A000000I,"Total compensation for private industry workers in the professional and business services industry, current dollar index"
CIS201540A000000Q,"Total compensation for private industry workers in the professional and business services industry, 3-month percent change, current dollars"
CIS2015600000000I,"Total compensation for private industry workers in the administrative and support and waste management and remediation services industry, current dollar index"
CIS2015600000000Q,"Total compensation for private industry workers in the administrative and support and waste management and remediation services industry, 3-month percent change, current dollars"
CIS2016000000000I,"Total compensation for private industry workers in the education and health services industry, current dollar index"
CIS2016000000000Q,"Total compensation for private industry workers in the education and health services industry, 3-month percent change, current dollars"
CIS2016100000000I,"Total compensation for private industry workers in the educational services industry, current dollar index"
CIS2016100000000Q,"Total compensation for private industry workers in the educational services industry, 3-month percent change, current dollars"
CIS2016120000000I,"Total compensation for private industry workers in the junior colleges, colleges, and universities industry, current dollar index"
CIS2016120000000Q,"Total compensation for private industry workers in the junior colleges, colleges, and universities industry, 3-month percent change, current dollars"
CIS2016200000000I,"Total compensation for private industry workers in the health care and social assistance industry, current dollar index"
CIS2016200000000Q,"Total compensation for private industry workers in the health care and social assistance industry, 3-month percent change, current dollars"
CIS2016220000000I,"Total compensation for private industry workers in the hospitals industry, current dollar index"
CIS2016220000000Q,"Total compensation for private industry workers in the hospitals industry, 3-month percent change, current dollars"
CIS2016230000000I,"Total compensation for private industry workers in the nursing and residential care facilities industry, current dollar index"
CIS2016230000000Q,"Total compensation for private industry workers in the nursing and residential care facilities industry, 3-month percent change, current dollars"
CIS2017000000000I,"Total compensation for private industry workers in the leisure and hospitality industry, current dollar index"
CIS2017000000000Q,"Total compensation for private industry workers in the leisure and hospitality industry, 3-month percent change, current dollars"
CIS2017200000000I,"Total compensation for private industry workers in the accommodations and food service industry, current dollar index"
CIS2017200000000Q,"Total compensation for private industry workers in the accommodations and food service industry, 3-month percent change, current dollars"
CIS2018100000000I,"Total compensation for private industry workers in the other services, except public administration industry, current dollar index"
CIS2018100000000Q,"Total compensation for private industry workers in the other services, except public administration industry, 3-month percent change, current dollars"
CIS201G000000000I,"Total compensation for private industry workers in the goods-producing industries, current dollar index"
CIS201G000000000Q,"Total compensation for private industry workers in the goods-producing industries, 3-month percent change, current dollars"
CIS201S000000000I,"Total compensation for private industry workers in the service-providing industries, current dollar index"
CIS201S000000000Q,"Total compensation for private industry workers in the service-providing industries, 3-month percent change, current dollars"
CIS2020000000000I,"Wages and salaries for all private industry workers, current dollar index"
CIS2020000000000Q,"Wages and salaries for all private industry workers, 3-month percent change, current dollars"
CIS2020000100000I,"Wages and salaries for private industry workers in management, professional, and related occupations, current dollar index"
CIS2020000100000Q,"Wages and salaries for private industry workers in management, professional, and related occupations, 3-month percent change, current dollars"
CIS2020000110000I,"Wages and salaries for private industry workers in management, business, and financial occupations, current dollar index"
CIS2020000110000Q,"Wages and salaries for private industry workers in management, business, and financial occupations, 3-month percent change, current dollars"
CIS2020000120000I,"Wages and salaries for private industry workers in professional and related occupations, current dollar index"
CIS2020000120000Q,"Wages and salaries for private industry workers in professional and related occupations, 3-month percent change, current dollars"
CIS2020000200000I,"Wages and salaries for private industry workers in sales and office occupations, current dollar index"
CIS2020000200000Q,"Wages and salaries for private industry workers in sales and office occupations, 3-month percent change, current dollars"
CIS2020000210000I,"Wages and salaries for private industry workers in sales and related occupations, current dollar index"
CIS2020000210000Q,"Wages and salaries for private industry workers in sales and related occupations, 3-month percent change, current dollars"
CIS2020000220000I,"Wages and salaries for private industry workers in office and administrative support occupations, current dollar index"
CIS2020000220000Q,"Wages and salaries for private industry workers in office and administrative support occupations, 3-month percent change, current dollars"
CIS202000022D000I,"(Discontinued SOC 2010) Wages and salaries for private industry workers in office and administrative support occupations, current dollar index"
CIS202000022D000Q,"(Discontinued SOC 2010) Wages and salaries for private industry workers in office and administrative support occupations, 3-month percent change, current dollars"
CIS2020000300000I,"Wages and salaries for private industry workers in service occupations, current dollar index"
CIS2020000300000Q,"Wages and salaries for private industry workers in service occupations, 3-month percent change, current dollars"
CIS2020000400000I,"Wages and salaries for private industry workers in natural resources, construction, and maintenance occupations, current dollar index"
CIS2020000400000Q,"Wages and salaries for private industry workers in natural resources, construction, and maintenance occupations, 3-month percent change, current dollars"
CIS2020000405000I,"Wages and salaries for private industry workers in construction, extraction, farming, fishing, and forestry occupations, current dollar index"
CIS2020000405000Q,"Wages and salaries for private industry workers in construction, extraction, farming, fishing, and forestry occupations, 3-month percent change, current dollars"
CIS2020000430000I,"Wages and salaries for private industry workers in installation, maintenance, and repair occupations, current dollar index"
